VRSTAMAT;DAVEK_PROC;EM;IDENT;NAZIV;KOLICINA;PORABA;ZELENA_KOL;ID_DOK;TIP_CENE;SKLADIŠČE;CENA;VREDNOST;CENA2
MAT;22;KOS;9936148;KOFIL FV-G4M 287X592X360/3;4;4;4;22006627;EUR;25410;5,773;23,09;0
MAT;22;KOS;9936148;KOFIL FV-G4M 287X592X360/3;4;4;4;22006627;EUR;25410;5,773;23,09;0
MAT;22;KOS;9936148;KOFIL FV-G4M 287X592X360/3;4;4;4;22006627;EUR;25410;5,773;23,09;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;12;0;12;22006627;EUR;25410;8,51;102,12;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;12;0;12;22006627;EUR;25410;8,51;102,12;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;2;0;2;22006627;EUR;25410;8,51;17,02;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;12;0;12;22006627;EUR;25410;8,51;102,12;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;12;0;12;22006627;EUR;25410;8,51;102,12;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;4;0;4;22006627;EUR;25410;8,51;34,04;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;8;0;8;22006627;EUR;25410;8,51;68,08;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;8;0;8;22006627;EUR;25410;8,51;68,08;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;8;0;8;22006627;EUR;25410;8,51;68,08;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;8;0;8;22006627;EUR;25410;8,51;68,08;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;8;0;8;22006627;EUR;25410;8,51;68,08;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;12;0;12;22006627;EUR;25410;8,51;102,12;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;8;0;8;22006627;EUR;25410;8,51;68,08;0
MAT;22;KOS;9936154;KOFIL FV-G4M 592X592X360/6;8;0;8;22006627;EUR;25410;8,51;68,08;0
MAT;22;KOS;9936173;KOFIL FV-F7M 287X592X635/4;2;2;2;22006627;EUR;25410;7,3715;14,74;0
MAT;22;KOS;9936175;KOFIL FV-F7M 592X592X635/8;2;2;2;22006627;EUR;25410;12,7995;25,6;0
POL;22;M2;9928297;FILTER F-5/100 - KOFIL;100;0;100;22006626;EUR;23410;0,42;42;0
MAT;22;M2;8800060;KOFIL FILTER Z OGLJEM C 20 C;19;19;19;22006626;EUR;25410;0,4555;8,65;0
POM;22;M2;9923022;TEDA  TD 65C-III F6 ULTRASONIC POCKET;142,8;136;6,8;22006626;EUR;25410;1,76;251,33;0
POM;22;M2;9923024;TEDA TD 95C-III F8 ULTRASONIC POCKET RO;272;0;272;22006626;EUR;25410;1,81513;493,72;0
POM;22;M2;9925533;KOFIL  FF 600 AR 6/FIS4510 MM20 S 550;19,8;19,8;19,8;22006626;EUR;25410;5,1865;102,69;0
MAT;22;M2;9931787;TR.TRAK 2M5 UO-U2 HP VL BLUE A;3,62604;3,62604;3,62604;22006625;EUR;22410;35,08846;127,23;0
MAT;22;M2;9931787;TR.TRAK 2M5 UO-U2 HP VL BLUE A;3,43145;3,43145;3,43145;22006625;EUR;22410;35,08846;120,4;0
MAT;22;M2;9915689;TR.TRAK 2MT5 U0-V3 N;0,3795;0,3795;0,3795;22006624;EUR;22410;13,41808;5,09;0
POL;22;M2;9930304;POL.FLATEX JERMEN LL 540 (M2);1,794;0;1,794;22006623;EUR;23410;220,6901;395,92;0
POL;22;M2;9928427;POL.SILON 60 HC M BLACK;5,32795;5,32795;5,32795;22006622;EUR;23410;34,25;182,48;0
MAT;22;KG;9946528;VL.PES 3,3/64 REG. GRADE A WHITE ERTONA;1205,1;1205,1;1205,1;22006621;EUR;22230;1,45111;1748,73;0
MAT;22;KG;9946723;VL.PES 1,6/51 T158 NSD SASA;2811,9;0;2811,9;22006621;EUR;22230;1,4311;4024,11;0
MAT;22;KG;9936488;VL.PES 1,7/38 DULL CRIMP.VS WHI MOG 2/15;3965,5;3965,5;3965,5;22006620;EUR;22230;1,38352;5486,35;0
MAT;22;KG;9946528;VL.PES 3,3/64 REG. GRADE A WHITE ERTONA;1699,5;1699,5;1699,5;22006620;EUR;22230;1,45111;2466,16;0
