VRSTAMAT;DAVEK_PROC;EM;IDENT;NAZIV;KOLICINA;A_KOLICINA;PORABA2;ID_DOK;TIP_CENE;SKLADIŠÈE;CENA;VREDNOST;PLAN_CENA
TRG;0;M2;9908648;TR.TRAK EL 2-U10 W;0,0016;0;0;5000004;EUR;22300;12572,10223;20,12;0
TRG;0;M2;9915605;NEW SIENA LM 5525N 1 GOV.CEP.DOD.;0,01;0;0;5000004;EUR;22300;5401,87881;54,02;0
TRG;0;KOM;9000007;ZAŠÈ.BOMB.ROKAVICE;500;0;0;5000003;EUR;22400;156,89;78445;0
TRG;0;KOS;9903235;KASETNI FILTER 860X500X10 G2;1;0;0;5000003;EUR;22400;833,25;833,25;0
TRG;0;KOS;9900068;KASETNI FILTER 592X592X98 G3;10;0;0;5000002;EUR;22410;1578,35045;15783,5;999
TRG;0;KOS;9900069;KASETNI FILTER 287X592X98 G3;5;0;0;5000002;EUR;22410;996,18923;4980,95;639
POM;0;KOS;9901271;KOFIL PPI 20;0,00116;0;0;5000002;EUR;22410;6,69521;0,01;1284,7
TRG;0;KOS;9902295;KASETNI FILTER 490X620X47 G3;12;0;0;5000002;EUR;22410;981,72;11780,64;0
TRG;0;KOS;9903120;KASETNI FILTER 620X540X60 G3;1;0;0;5000002;EUR;22410;752;752;1360
TRG;0;KOS;9906840;KASETNI FILTER 592X592X48 F5/EU5;11;0;0;5000002;EUR;22410;1076,66;11843,26;0
TRG;0;KOS;9907204;KASETNI FILTER 500X500X48 G3;2;0;0;5000002;EUR;22410;616,1;1232,2;1459
TRG;0;KOS;9908707;KASETNI FILTER 592X892X48 G4;2;0;0;5000002;EUR;22410;1956,37;3912,74;0
TRG;0;KOS;9910158;KASETNI FILTER 658X1164X48 G4;10;0;0;5000002;EUR;22410;1933,14;19331,4;0
TRG;0;KOS;9910161;KASETNI FILTER 1378X682X48 G4;10;0;0;5000002;EUR;22410;2254,32;22543,2;0
TRG;0;KOS;9910420;KASETNI FILTER 978X682X48 G4;10;0;0;5000002;EUR;22410;1709,93;17099,3;0
TRG;0;KOS;9911368;KASETNI FILTER 592X892X98 G4;2;0;0;5000002;EUR;22410;1106,7;2213,4;0
TRG;0;KOS;9911747;KASETNI FILTER 265X265X30 G4;30;0;0;5000002;EUR;22410;386,83;11604,9;0
TRG;0;KOS;9915238;FILTER H.2.074/15;2;0;0;5000002;EUR;22410;4110;8220;0
TRG;0;KOS;9915613;KASETNI FILTER 678X437X48 F5;5;0;0;5000002;EUR;22410;961;4805;0
TRG;0;KOS;9915614;KASETNI FILTER 678X437X48 G4;5;0;0;5000002;EUR;22410;961;4805;0
TRG;20;KOS;9909575;PREŠITA ODEJA 200X200 (VOLNA);2;0;0;5000001;EUR;22200;10251,937;20503,87;0
TRG;20;KOS;9911520;PREŠITA ODEJA 200X200-LETNI(PES);1;0;0;5000001;EUR;22200;4622,3729;4622,37;0
TRG;20;KOS;9911519;PREŠITA ODEJA 200X140-LETNI(PES);4;0;0;5000001;EUR;22200;2960,93272;11843,73;0
TRG;20;KOS;9911906;PREŠITA ODEJA 200X140-ZIMSKA(PES);1;0;0;4000005;EUR;22200;4149,91599;4149,92;0
TRG;0;M2;316628;KOFIL PE-401 HK - TRG.;45;0;0;4000004;EUR;22200;430;19350;0
M&I;0;M2;3000591;FLATEX JERMEN GG 140 15/15;10;0;0;4000004;EUR;22200;42291;422910;22323,85
TRG;0;KOS;9909575;PREŠITA ODEJA 200X200 (VOLNA);1;0;0;4000004;EUR;22200;10251,937;10251,94;0
TRG;0;KOS;9907204;KASETNI FILTER 500X500X48 G3;2;0;0;4000003;EUR;22410;616,1;1232,2;1459
